representation,prompt_group,pooling_rule,layer,subset,profiles,pairs,target,pearson_r,spearman_rho
activation,ipip_stems,final_token,8,rows_ge_50000,22,231,unique_tuple_weighted_continuous,0.03662945817485658,0.0359596175938005
activation,ipip_stems,final_token,8,unique_tuples_ge_10,28,378,row_weighted_continuous,0.051511924276436555,0.04701337946720532
activation,ipip_stems,final_token,8,unique_tuples_ge_10,28,378,unique_tuple_weighted_continuous,0.04825041467596528,0.03868266510428279
activation,ipip_stems,final_token,8,unique_tuples_ge_25,24,276,row_weighted_continuous,0.01504884678220393,0.022236554843680884
activation,ipip_stems,final_token,8,unique_tuples_ge_25,24,276,unique_tuple_weighted_continuous,0.032366108702228044,0.027356915569127154
activation,ipip_stems,final_token,8,exposure_quartile_1,8,28,row_weighted_continuous,-0.14155195937679682,-0.20142309797482214
activation,ipip_stems,final_token,8,exposure_quartile_1,8,28,unique_tuple_weighted_continuous,-0.02668694517199625,-0.10673234811165844
activation,ipip_stems,final_token,8,exposure_quartile_2,8,28,row_weighted_continuous,0.07115266775727074,0.030103995621236997
activation,ipip_stems,final_token,8,exposure_quartile_2,8,28,unique_tuple_weighted_continuous,0.04331290139517,0.00875752599890531
activation,ipip_stems,final_token,8,exposure_quartile_3,8,28,row_weighted_continuous,-0.06052856282619605,-0.039956212370005476
activation,ipip_stems,final_token,8,exposure_quartile_3,8,28,unique_tuple_weighted_continuous,0.07734455015523761,0.01477832512315271
activation,ipip_stems,final_token,8,exposure_quartile_4,8,28,row_weighted_continuous,-0.08029140471144808,-0.0481663929939792
activation,ipip_stems,final_token,8,exposure_quartile_4,8,28,unique_tuple_weighted_continuous,-0.08682508002977549,-0.015873015873015872
activation,ipip_stems,final_token,8,pair_row_ratio_le_2_0,32,181,row_weighted_continuous,0.0814510743687366,0.05447554287333292
activation,ipip_stems,final_token,8,pair_row_ratio_le_2_0,32,181,unique_tuple_weighted_continuous,0.111268038515542,0.07324995446542408
activation,ipip_stems,final_token,8,pair_row_ratio_le_1_5,32,117,row_weighted_continuous,-0.01889232544516957,-0.03442281466828515
activation,ipip_stems,final_token,8,pair_row_ratio_le_1_5,32,117,unique_tuple_weighted_continuous,0.03663376320217189,-0.008384660342579685
activation,ipip_stems,final_token,9,all_32,32,496,row_weighted_continuous,0.09850131281274649,0.07247473108445393
activation,ipip_stems,final_token,9,all_32,32,496,unique_tuple_weighted_continuous,0.07795689199487361,0.06075888370300002
activation,ipip_stems,final_token,9,rows_ge_1000,30,435,row_weighted_continuous,0.06688573974269706,0.03828616913798206
activation,ipip_stems,final_token,9,rows_ge_1000,30,435,unique_tuple_weighted_continuous,0.05605120427712924,0.04483050192656177
activation,ipip_stems,final_token,9,rows_ge_10000,30,435,row_weighted_continuous,0.06688573974269706,0.03828616913798206
activation,ipip_stems,final_token,9,rows_ge_10000,30,435,unique_tuple_weighted_continuous,0.05605120427712924,0.04483050192656177
activation,ipip_stems,final_token,9,rows_ge_50000,22,231,row_weighted_continuous,0.03164214226189426,0.03692731556299772
