representation,prompt_group,pooling_rule,layer,transformation,interaction_order,energy
activation,ipip_stems,final_token,10,profile_centered,4,0.24518577645213
activation,ipip_stems,final_token,10,profile_centered,5,0.040451280775751206
activation,ipip_stems,final_token,10,raw,0,6.575811034953057
activation,ipip_stems,final_token,10,raw,1,0.36884502391538976
activation,ipip_stems,final_token,10,raw,2,0.5455814753772389
activation,ipip_stems,final_token,10,raw,3,0.5203068321001446
activation,ipip_stems,final_token,10,raw,4,0.24518577645213
activation,ipip_stems,final_token,10,raw,5,0.040451280775751206
activation,ipip_stems,final_token,10,unit_norm,0,0.001326813840404983
activation,ipip_stems,final_token,10,unit_norm,1,0.20408417436537216
activation,ipip_stems,final_token,10,unit_norm,2,0.3154547395581135
activation,ipip_stems,final_token,10,unit_norm,3,0.304739442677926
activation,ipip_stems,final_token,10,unit_norm,4,0.14916652089048926
activation,ipip_stems,final_token,10,unit_norm,5,0.02522830866769423
activation,ipip_stems,final_token,11,common_pc1_removed,0,1.3572874887604369e-33
activation,ipip_stems,final_token,11,common_pc1_removed,1,0.2696517719985302
activation,ipip_stems,final_token,11,common_pc1_removed,2,0.5449444733194445
activation,ipip_stems,final_token,11,common_pc1_removed,3,0.5452061537066424
activation,ipip_stems,final_token,11,common_pc1_removed,4,0.2650047847453406
activation,ipip_stems,final_token,11,common_pc1_removed,5,0.04253486147543096
activation,ipip_stems,final_token,11,exposure_residualized,0,6.251954223420469e-28
activation,ipip_stems,final_token,11,exposure_residualized,1,0.22792649560440084
activation,ipip_stems,final_token,11,exposure_residualized,2,0.4558412363106341
activation,ipip_stems,final_token,11,exposure_residualized,3,0.4873003874908855
activation,ipip_stems,final_token,11,exposure_residualized,4,0.23206432540877092
activation,ipip_stems,final_token,11,exposure_residualized,5,0.04184113702170544
activation,ipip_stems,final_token,11,profile_centered,0,0.0
activation,ipip_stems,final_token,11,profile_centered,1,0.4192260066108652
activation,ipip_stems,final_token,11,profile_centered,2,0.6098515855504144
activation,ipip_stems,final_token,11,profile_centered,3,0.5880376170135502
activation,ipip_stems,final_token,11,profile_centered,4,0.27493332310363805
activation,ipip_stems,final_token,11,profile_centered,5,0.04363216528395435
activation,ipip_stems,final_token,11,raw,0,7.518052113781616
activation,ipip_stems,final_token,11,raw,1,0.4192260066108652
activation,ipip_stems,final_token,11,raw,2,0.6098515855504144
activation,ipip_stems,final_token,11,raw,3,0.5880376170135502
activation,ipip_stems,final_token,11,raw,4,0.27493332310363805
activation,ipip_stems,final_token,11,raw,5,0.04363216528395435
activation,ipip_stems,final_token,11,unit_norm,0,0.0012562127599555451
activation,ipip_stems,final_token,11,unit_norm,1,0.20596581878636797
activation,ipip_stems,final_token,11,unit_norm,2,0.31625478229368864
activation,ipip_stems,final_token,11,unit_norm,3,0.30411332507570676
activation,ipip_stems,final_token,11,unit_norm,4,0.1481011728600495
activation,ipip_stems,final_token,11,unit_norm,5,0.024308688224231333
activation,ipip_stems,final_token,12,common_pc1_removed,0,4.418233917245602e-33
activation,ipip_stems,final_token,12,common_pc1_removed,1,0.3250167254383174
activation,ipip_stems,final_token,12,common_pc1_removed,2,0.6524073120234576
activation,ipip_stems,final_token,12,common_pc1_removed,3,0.6696903077354275
activation,ipip_stems,final_token,12,common_pc1_removed,4,0.3265339619653629
activation,ipip_stems,final_token,12,common_pc1_removed,5,0.05433069506510836
activation,ipip_stems,final_token,12,exposure_residualized,0,7.639765447989601e-28
activation,ipip_stems,final_token,12,exposure_residualized,1,0.27329011191002134
activation,ipip_stems,final_token,12,exposure_residualized,2,0.544143605864685
activation,ipip_stems,final_token,12,exposure_residualized,3,0.6065972221237143
activation,ipip_stems,final_token,12,exposure_residualized,4,0.28444555390264237
activation,ipip_stems,final_token,12,exposure_residualized,5,0.053108302824371845
activation,ipip_stems,final_token,12,profile_centered,0,0.0
activation,ipip_stems,final_token,12,profile_centered,1,0.5164736004000815
activation,ipip_stems,final_token,12,profile_centered,2,0.7411282986380338
activation,ipip_stems,final_token,12,profile_centered,3,0.7361410750576932
activation,ipip_stems,final_token,12,profile_centered,4,0.3365618264153264
activation,ipip_stems,final_token,12,profile_centered,5,0.055106691226439825
activation,ipip_stems,final_token,12,raw,0,10.099158318208566
activation,ipip_stems,final_token,12,raw,1,0.5164736004000815
activation,ipip_stems,final_token,12,raw,2,0.7411282986380338
activation,ipip_stems,final_token,12,raw,3,0.7361410750576932
activation,ipip_stems,final_token,12,raw,4,0.3365618264153264
activation,ipip_stems,final_token,12,raw,5,0.055106691226439825
activation,ipip_stems,final_token,12,unit_norm,0,0.0014801141658930812
activation,ipip_stems,final_token,12,unit_norm,1,0.20429692308934214
activation,ipip_stems,final_token,12,unit_norm,2,0.31097332931921884
activation,ipip_stems,final_token,12,unit_norm,3,0.3094580661410366
activation,ipip_stems,final_token,12,unit_norm,4,0.14861138559092468
activation,ipip_stems,final_token,12,unit_norm,5,0.025180181693584585
activation,ipip_stems,final_token,13,common_pc1_removed,0,1.0638554143367014e-32
activation,ipip_stems,final_token,13,common_pc1_removed,1,0.3951845515697331
activation,ipip_stems,final_token,13,common_pc1_removed,2,0.7769137652983902
activation,ipip_stems,final_token,13,common_pc1_removed,3,0.7665147663281324
